id,title,point,level,solved,wrong,no,tags,open,wp,unknown_flag,url
2186,[NISACTF 2022]鸣神的国土,176,2.5,131,58,43,Base64|自定义逻辑|REVERSE|ROT|base64,True,False,,https://www.nssctf.cn/problem/2186
4535,[SWPUCTF 2023 秋季新生赛]字节码,180,2.0,127,10,36,Python|bytecode|REVERSE,True,False,,https://www.nssctf.cn/problem/4535
3592,[HZNUCTF 2023 preliminary]checkin,181,1.9,126,151,20,大小端序|逆向技术|REVERSE,True,False,,https://www.nssctf.cn/problem/3592
2359,[SDCTF 2022]A Bowl of Pythons,182,2.3,125,178,38,Python|XOR|自定义逻辑|Reverse|算法分析,True,False,,https://www.nssctf.cn/problem/2359
2473,[NSSRound#4 SWPU]hide_and_seek,182,2.5,125,111,48,反调试|动态调试|keypatch|patch|REVERSE,True,False,,https://www.nssctf.cn/problem/2473
3510,[HGAME 2023 week3]kunmusic,183,2.9,124,51,58,Z3|C#|XOR|REVERSE,True,False,,https://www.nssctf.cn/problem/3510
841,[CISCN 2021初赛]babybc,184,3.8,123,173,108,Z3|逆向技术|算法分析|LLVM,True,False,,https://www.nssctf.cn/problem/841
3390,[MoeCTF 2021]midpython,185,2.2,122,37,28,Python|自定义逻辑|REVERSE,True,False,,https://www.nssctf.cn/problem/3390
250,[GWCTF 2019]babyvm,189,3.7,118,107,107,VM|bytecode|逆向技术|反调试|逆向 ,True,False,,https://www.nssctf.cn/problem/250
4366,[羊城杯 2023]CSGO,192,3.0,115,70,68,Base64|Golang|反调试|REVERSE,True,False,,https://www.nssctf.cn/problem/4366
5929,[SWPUCTF 2024 秋季新生赛]签到？,196,2.9,111,22,73,XOR|REVERSE,True,False,,https://www.nssctf.cn/problem/5929
1232,[网鼎杯 2020 青龙组]singal,197,3.5,110,50,54,VM|控制流|模拟器|C|语言逆向,True,False,,https://www.nssctf.cn/problem/1232
1999,[WUSTCTF 2020]level4,197,3.1,110,76,49,算法分析|语言逆向|Reverse|二叉树,True,False,,https://www.nssctf.cn/problem/1999
5934,[SWPUCTF 2024 秋季新生赛]又是签到！？,198,2.1,109,52,39,逆向技术|安卓逆向|REVERSE,True,False,,https://www.nssctf.cn/problem/5934
3382,[MoeCTF 2021]大佬请喝coffee,203,2.3,106,36,22,JAVA|Z3|REVERSE,True,False,,https://www.nssctf.cn/problem/3382
3687,[GDOUCTF 2023]L！s！,203,3.8,106,97,42,Bindiff,True,True,,https://www.nssctf.cn/problem/3687
7057,[Reisen]NSSCTF2025入门题目-Xor,203,3.7,106,38,53,逆向技术|C|语言逆向|XOR,True,True,,https://www.nssctf.cn/problem/7057
4524,[SWPUCTF 2023 秋季新生赛]Funny CSharp,205,2.3,105,32,47,XOR|C#|REVERSE,True,False,,https://www.nssctf.cn/problem/4524
3318,[MoeCTF 2022]Art,207,2.9,104,30,30,DFS|脱壳|REVERSE|UPX壳,True,False,,https://www.nssctf.cn/problem/3318
3007,[NSSRound#6 Team]void(V1),215,2.9,100,22,40,Base64|动态调试|REVERSE|constructor|base64,True,False,,https://www.nssctf.cn/problem/3007
5940,[SWPUCTF 2024 秋季新生赛]不是，哥们，还有签到？,217,2.7,99,14,23,REVERSE,True,False,,https://www.nssctf.cn/problem/5940
3522,[HGAME 2023 week4]shellcode,221,2.7,97,94,66,TEA|REVERSE|tea|base64|文件操作,True,False,,https://www.nssctf.cn/problem/3522
504,[广东强网杯 2021 个人组]goodpy,223,3.0,96,131,37,Python|bytecode|语言逆向|逆向,True,False,,https://www.nssctf.cn/problem/504
4523,[SWPUCTF 2023 秋季新生赛]Easy SMC,223,2.8,96,56,61,SMC|C|REVERSE,True,False,,https://www.nssctf.cn/problem/4523
5193,[GHCTF 2024 新生赛]UP+,223,2.6,96,24,60,RC4|C|XOR|REVERSE,True,False,,https://www.nssctf.cn/problem/5193
3511,[HGAME 2023 week3]patchme,225,2.8,95,41,31,SMC|patch|REVERSE,True,False,,https://www.nssctf.cn/problem/3511
3032,[HNCTF 2022 WEEK3]Help_Me!,231,2.5,92,43,43,自定义逻辑|RE|动态规划,True,False,,https://www.nssctf.cn/problem/3032
7062,[Reisen]NSSCTF2025入门题目-Rc4,235,3.6,90,26,74,RC4|算法分析|C|语言逆向,True,True,,https://www.nssctf.cn/problem/7062
1114,[AFCTF 2018]吃豆子,241,3.0,87,86,39,迷宫|逆向,True,False,,https://www.nssctf.cn/problem/1114
3791,[HDCTF 2023]买了些什么呢,241,2.4,87,137,26,Reverse|背包问题|动态规划,True,False,,https://www.nssctf.cn/problem/3791
5936,[SWPUCTF 2024 秋季新生赛]怎么才能看见flag呢,241,2.1,87,9,20,REVERSE,True,False,,https://www.nssctf.cn/problem/5936
252,[GWCTF 2019]re3,243,3.0,86,33,34,SMC|IDC脚本|动态调试|算法分析|逆向 ,True,False,,https://www.nssctf.cn/problem/252
7058,[Reisen]NSSCTF2025入门题目-Base64,245,4.2,85,10,26,Base64|重定向表|C,True,True,,https://www.nssctf.cn/problem/7058
3328,[MoeCTF 2022]Fake_code,247,3.0,84,33,37,动态调试|XOR|REVERSE,True,False,,https://www.nssctf.cn/problem/3328
3689,[GDOUCTF 2023]润！,249,3.1,83,39,43,迷宫|C++|动态调试|脱壳|魔改UPX壳,True,False,,https://www.nssctf.cn/problem/3689
5985,[SWPUCTF 2024 秋季新生赛]动态调试,249,3.5,83,12,61,动态调试|RC4|逆向技术|C|自定义逻辑,True,False,,https://www.nssctf.cn/problem/5985
2000,[WUSTCTF 2020]funnyre,251,3.4,82,25,45,Angr|花指令|C|Reverse|抽象代数,True,False,,https://www.nssctf.cn/problem/2000
2540,[网鼎杯 2022 青龙组]fakeshell,257,2.7,79,144,50,UPX壳|XOR|脱壳|逆向技术,True,False,,https://www.nssctf.cn/problem/2540
3503,[HGAME 2023 week2]VidarCamera,257,3.3,79,23,40,TEA|逆向技术|安卓逆向|XTEA|REVERSE,True,False,,https://www.nssctf.cn/problem/3503
4052,[CISCN 2023 初赛]ezbyte,257,4.0,79,90,65,bytecode|VM|Rust|REVERSE,True,False,,https://www.nssctf.cn/problem/4052
1383,[GKCTF 2021]QQQQT,259,2.2,78,15,15,逆向技术|Reverse|QT|base58,True,False,,https://www.nssctf.cn/problem/1383
2528,[NSSRound#V Team]Shatter_Time,263,2.6,76,40,33,动态调试|C|REVERSE|内存修改|数据存储,True,False,,https://www.nssctf.cn/problem/2528
3326,[MoeCTF 2022]EzRisc-V,265,2.6,75,27,32,Risc-V|REVERSE,True,False,,https://www.nssctf.cn/problem/3326
3107,[HNCTF 2022 WEEK4]flower plus,267,2.5,74,26,93,花指令|RC4|XOR|RE|IDApython,True,False,,https://www.nssctf.cn/problem/3107
6526,[GHCTF 2025]FishingKit,267,4.0,74,56,82,HOOK|逆向技术|动态调试|REVERSE,True,True,,https://www.nssctf.cn/problem/6526
3594,[HZNUCTF 2023 preliminary]flower,271,2.8,72,19,38,花指令|RC4|REVERSE|rc4,True,False,,https://www.nssctf.cn/problem/3594
2040,[NISACTF 2022]tears_confusion,277,3.2,69,21,43,动态调试|REVERSE|反编译|混淆|RC4,True,False,,https://www.nssctf.cn/problem/2040
2328,[SUCTF 2018 招新赛]hash,277,2.5,69,96,39,算法分析|逆向技术|REVERSE|MD5|代码分析,True,False,,https://www.nssctf.cn/problem/2328
3797,[HDCTF2023]basketball,277,3.5,69,60,34,Reverse,True,False,,https://www.nssctf.cn/problem/3797
956,[NCTF 2018]wcyvm,281,2.6,67,23,34,VM|大小端序|虚函数表|自定义逻辑|逆向,True,False,,https://www.nssctf.cn/problem/956
4526,[SWPUCTF 2023 秋季新生赛]Redirect,285,2.6,65,8,34,RC4|REVERSE,True,False,,https://www.nssctf.cn/problem/4526
6796,[LitCTF 2025]easy_tea,287,3.0,64,24,104,花指令|TEA|REVERSE,True,False,,https://www.nssctf.cn/problem/6796
5223,[GHCTF 2024 新生赛]穿越反恐火线精英,289,3.6,63,44,70,反调试|花指令|RC4,True,False,,https://www.nssctf.cn/problem/5223
79,[watevrCTF 2019]esreveR,293,2.6,61,28,40,逆向,True,False,,https://www.nssctf.cn/problem/79
3384,[MoeCTF 2021]A_game,293,3.1,61,23,26,逆向技术|REVERSE|数独,True,False,,https://www.nssctf.cn/problem/3384
4551,[SWPUCTF 2023 秋季新生赛]蟒蛇中文破解绿色版,295,2.3,60,24,33,Python|Base64|REVERSE,True,False,,https://www.nssctf.cn/problem/4551
5824,[SWPU 2024 新生引导]cancan你的经文,295,2.0,60,17,20,Python|自定义逻辑|PYC|XOR,True,False,,https://www.nssctf.cn/problem/5824
4053,[CISCN 2023 初赛]moveAside,297,4.2,59,40,50,插桩|REVERSE,True,False,,https://www.nssctf.cn/problem/4053
4257,[NSSCTF 2nd]MyBase,297,3.5,59,11,33,Base64|动态调试|C|逆向技术|控制流,True,False,,https://www.nssctf.cn/problem/4257
376,[长安杯 2021学生组]snake,300,2.9,58,88,47,逆向|game|re|patch,True,False,,https://www.nssctf.cn/problem/376
5941,[SWPUCTF 2024 秋季新生赛]re4,300,2.1,58,28,41,动态调试|反调试|XOR|Base64|REVERSE,True,False,,https://www.nssctf.cn/problem/5941
324,[第五空间 2021]StrangeLanguage,303,3.2,57,25,27,逆向|B&F|动态调试|pyexe逆向,True,False,,https://www.nssctf.cn/problem/324
704,[BJDCTF 2020]BJD hamburger competition,303,2.3,57,96,19,C#|.NET|逆向,True,False,,https://www.nssctf.cn/problem/704
5381,[NSSRound#22 Basic]EzHook,303,3.6,57,20,30,HOOK|XTEA|PE结构,True,True,,https://www.nssctf.cn/problem/5381
7059,[Reisen]NSSCTF2025入门题目-Debug,306,4.1,56,5,29,动态调试|C,True,True,,https://www.nssctf.cn/problem/7059
4522,[SWPUCTF 2023 秋季新生赛]Char And Int,309,3.0,55,25,16,REVERSE,True,False,,https://www.nssctf.cn/problem/4522
1884,[HGAME 2022 week4]WOW,315,3.3,53,18,26,动态调试|Reverse|patch,True,False,,https://www.nssctf.cn/problem/1884
2405,[CISCN 2022 东北]happymath,318,3.5,52,21,48,自定义逻辑|C|RE,True,False,,https://www.nssctf.cn/problem/2405
6525,[GHCTF 2025]ASM?Signin!,318,3.2,52,93,71,ASM|REVERSE,True,True,,https://www.nssctf.cn/problem/6525
